GeneID	ID	DexseqFragment	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID.1	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	riExonStart_0base	riExonEnd	exonBaseMean	dispersion	stat	pvalue	padj	Bnaive	CD8naive	log2fold_CD8naive_Bnaive	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.case_bnaive	countData.case_cd8naive	transcripts
ENSG00000070756.16	A3SS_9387	E013	PABPC1	chr8	-	100704925	100705056	100704925	100705029	100705588	100705673	9387	378,583,331,1713,1219	0,0,0,2,3	3777,3583,2053,2320,2762	4,7,6,0,3	127	100	1	1.0	1.0,1.0,1.0,0.999,0.997	0.999,0.998,0.996,1.0,0.999	0.001									1105.23169270557	0.00122009501379916	10.7876057804726	0.00102181959608192	0.0867400690767486	38.3816999541165	39.7827298460948	0.177573412810938	chr8	100704961	100705029	69	-	474,963,741,378,685	1661,2217,2201,1300,1312	ENST00000523636.5, ENST00000318607.10, ENST00000522387.5, ENST00000519004.5, ENST00000522658.5, ENST00000519848.1, ENST00000520868.5, ENST00000610907.1, ENST00000517990.5
ENSG00000070756.16	A3SS_9388	E015	PABPC1	chr8	-	100705588	100705673	100705588	100705672	100709132	100709223	9388	6,6,7,23,18	0,0,0,1,0	32,26,13,21,15	0,0,0,0,0	101	100	1	1.0	1.0,1.0,1.0,0.958,1.0	1.0,1.0,1.0,1.0,1.0	-0.008									1095.4066137003	0.000577105977730987	2.37129734129834	0.123584308790759	0.709362336500608	38.7531866355512	39.4076826471839	0.0829518397804474	chr8	100705589	100705672	84	-	519,943,767,405,720	1624,2155,2168,1220,1253	ENST00000523636.5, ENST00000318607.10, ENST00000522387.5, ENST00000519004.5, ENST00000522658.5, ENST00000519848.1, ENST00000520868.5, ENST00000610907.1, ENST00000517990.5
ENSG00000070756.16	A3SS_9389	E029	PABPC1	chr8	-	100709458	100709731	100709458	100709673	100712361	100712457	9389	572,758,490,2426,1824	2,2,4,12,17	4878,4667,2488,2792,3448	75,42,23,7,51	158	100	0.00113074724713	0.0390715728887339	0.995,0.996,0.987,0.992,0.985	0.976,0.986,0.986,0.996,0.977	0.007									1295.09796813019	0.000627904975995074	8.67905942464608	0.0032188706748857	0.166463263840505	41.6762296866281	40.8684814666126	-0.100963686170214	chr8	100709552	100709673	122	-	718,1255,924,526,885	1879,2397,2645,1262,1393	ENST00000519622.5, ENST00000523636.5, ENST00000522387.5, ENST00000318607.10, ENST00000519004.5, ENST00000519596.5, ENST00000518716.1, ENST00000519100.5, ENST00000610907.1
ENSG00000075624.16	A3SS_11339	E016	ACTB	chr7	-	5528280	5528719	5528280	5528671	5529160	5529400	11339	214,312,195,866,637	0,0,0,0,0	736,1032,1135,1365,789	1,0,0,0,0	148	100	1	1.0	1.0,1.0,1.0,1.0,1.0	0.998,1.0,1.0,1.0,1.0	0.0									279.935790423039	0.000324177757683539	2.2971801944085	0.129609106105717	0.718259381707212	25.2864455965683	24.820354440547	-0.0708067830303598	chr7	5528717	5528719	3	-	187,271,252,141,253	268,377,274,402,488	ENST00000646664.1, ENST00000484841.6, ENST00000473257.2, ENST00000432588.5, ENST00000425660.5, ENST00000477812.1, ENST00000642480.1, ENST00000647275.1, ENST00000493945.6, ENST00000462494.5
ENSG00000075624.16	A3SS_11339	E015	ACTB	chr7	-	5528280	5528719	5528280	5528671	5529160	5529400	11339	214,312,195,866,637	0,0,0,0,0	736,1032,1135,1365,789	1,0,0,0,0	148	100	1	1.0	1.0,1.0,1.0,1.0,1.0	0.998,1.0,1.0,1.0,1.0	0.0									371.277185648408	0.000406443057420905	2.96857112402904e-06	0.998625282136879	1.0	27.7033477576208	27.8350014333287	0.0189689598060809	chr7	5528672	5528716	45	-	240,346,331,181,312	366,510,360,553,673	ENST00000646664.1, ENST00000473257.2, ENST00000432588.5, ENST00000425660.5, ENST00000477812.1, ENST00000642480.1, ENST00000647275.1, ENST00000493945.6, ENST00000462494.5
ENSG00000075624.16	A3SS_11340	E028	ACTB	chr7	-	5529534	5529733	5529534	5529663	5530523	5530601	11340	45,55,44,79,118	165,340,233,879,602	101,138,115,179,106	646,992,943,1089,684	170	100	0.387141946937	1.0	0.138,0.087,0.1,0.05,0.103	0.084,0.076,0.067,0.088,0.084	0.016									102.758964803541	0.0355183807319532	0.851173626267439	0.356220536507011	0.889204098937601	17.8238023736298	16.0377362230275	-0.350541217996926	chr7	5529664	5529733	70	-	91,55,121,65,89	94,133,115,113,168	ENST00000642480.1, ENST00000493945.6, ENST00000484841.6
ENSG00000089157.16	A3SS_9324	E017	RPLP0	chr12	-	120198553	120198739	120198553	120198631	120198853	120199000	9324	1629,1413,767,5444,3738	2,2,0,2,5	4710,7159,5509,3745,6240	7,5,1,3,15	208	100	1	1.0	0.997,0.997,1.0,0.999,0.997	0.997,0.999,1.0,0.998,0.995	0.0									1149.74192988844	0.000110425030941253	7.18936072702019	0.00733371037316471	0.253022603631164	40.6545664013116	40.0810590936074	-0.0720751339112056	chr12	120198704	120198739	36	-	930,1517,1056,448,840	1712,1928,1282,1479,1064	ENST00000552461.5, ENST00000546564.5, ENST00000551258.5, ENST00000547173.5, ENST00000550856.5, ENST00000547191.5, ENST00000548568.5, ENST00000547475.5, ENST00000228306.8, ENST00000546990.5, ENST00000547211.5, ENST00000549098.5, ENST00000392514.9, ENST00000551150.5
ENSG00000089157.16	A3SS_9324	E016	RPLP0	chr12	-	120198553	120198739	120198553	120198631	120198853	120199000	9324	1629,1413,767,5444,3738	2,2,0,2,5	4710,7159,5509,3745,6240	7,5,1,3,15	208	100	1	1.0	0.997,0.997,1.0,0.999,0.997	0.997,0.999,1.0,0.998,0.995	0.0									1366.66682640253	0.000175787717757985	6.69251271436892	0.00968186488185881	0.286309441379585	42.6077240275497	42.0523690769509	-0.0690092191430409	chr12	120198632	120198703	72	-	1156,1740,1242,541,974	1985,2327,1486,1800,1249	ENST00000552461.5, ENST00000546564.5, ENST00000551258.5, ENST00000547173.5, ENST00000550856.5, ENST00000548568.5, ENST00000547475.5, ENST00000228306.8, ENST00000546990.5, ENST00000547211.5, ENST00000549098.5, ENST00000392514.9, ENST00000551150.5
ENSG00000089157.16	A3SS_9325	E020	RPLP0	chr12	-	120198553	120198770	120198553	120198631	120198853	120199000	9325	854,727,407,2782,1871	2,2,0,2,5	2398,3648,2934,1919,3083	7,5,1,3,15	239	100	1	1.0	0.994,0.993,1.0,0.998,0.994	0.993,0.997,0.999,0.996,0.989	0.001									28.153457246583	0.0529626278187933	3.44064762415792	0.0636107538484049	0.586669504373583	10.5063663316594	8.33603212627141	-0.699325775705724	chr12	120198756	120198770	15	-	34,26,38,12,31	34,25,23,25,43	ENST00000546564.5, ENST00000551258.5, ENST00000547173.5, ENST00000552902.5, ENST00000548568.5, ENST00000550296.5
ENSG00000089157.16	A3SS_9325	E019	RPLP0	chr12	-	120198553	120198770	120198553	120198631	120198853	120199000	9325	854,727,407,2782,1871	2,2,0,2,5	2398,3648,2934,1919,3083	7,5,1,3,15	239	100	1	1.0	0.994,0.993,1.0,0.998,0.994	0.993,0.997,0.999,0.996,0.989	0.001									24.6827741967457	0.069038395429031	2.42100511226414	0.119718094129357	0.703348699614502	9.84198481017567	7.83780644789843	-0.684465676232056	chr12	120198745	120198755	11	-	30,20,30,10,31	33,18,22,22,37	ENST00000546564.5, ENST00000551258.5, ENST00000547173.5, ENST00000548568.5, ENST00000550296.5
