Name	Length	EffectiveLength	PBMC1.CC7W2ANXX.SM2.120717p2.C2	PBMC1.CC7W2ANXX.SM2.120717p2.C6	PBMC1.CC7W2ANXX.SM2.120717p3.B6	PBMC1.CC7W2ANXX.SM2.120717p4.A11	PBMC1.CC7W2ANXX.SM2.120717p4.A3	PBMC1.CC7W2ANXX.SM2.120717p4.B1	PBMC1.CC7W2ANXX.SM2.120717p4.C8	PBMC1.CC7W2ANXX.SM2.120717p4.D5	PBMC1.CC7W2ANXX.SM2.120717p4.E2	PBMC1.CC7W2ANXX.SM2.120717p4.E3	PBMC1.CC7W2ANXX.SM2.120717p4.F5	PBMC1.CC7W2ANXX.SM2.120717p4.H11	PBMC1.CC7W2ANXX.SM2.120717p5.A10	PBMC1.CC7W2ANXX.SM2.120717p5.B5	PBMC1.CC7W2ANXX.SM2.120717p5.C12	PBMC1.CC7W2ANXX.SM2.120717p5.D11	PBMC1.CC7W2ANXX.SM2.120717p5.G1	PBMC1.CC7W2ANXX.SM2.120717p5.G10	PBMC1.CC7W2ANXX.SM2.120717p5.G2	PBMC1.CC7W2ANXX.SM2.120717p6.A12	PBMC1.CC7W2ANXX.SM2.120717p6.C8	PBMC1.CC7W2ANXX.SM2.120717p6.D11	PBMC1.CC7W2ANXX.SM2.120717p6.E10	PBMC1.CC7W2ANXX.SM2.120717p6.F10	PBMC1.CC7W2ANXX.SM2.120717p6.G7	PBMC2.CC86JANXX.SM2.011818p1.A11	PBMC2.CC86JANXX.SM2.011818p1.A8	PBMC2.CC86JANXX.SM2.011818p1.C4	PBMC2.CC86JANXX.SM2.011818p1.E9	PBMC2.CC86JANXX.SM2.011818p3.A10	PBMC2.CC86JANXX.SM2.011818p3.B8	PBMC2.CC86JANXX.SM2.011818p3.C7	PBMC2.CC86JANXX.SM2.011818p3.D10	PBMC2.CC86JANXX.SM2.011818p3.E6	PBMC2.CC86JANXX.SM2.011818p3.F7	PBMC2.CC86JANXX.SM2.011818p3.F9	PBMC2.CC86JANXX.SM2.011818p3.G10	PBMC2.CC86JANXX.SM2.011818p3.G3	PBMC2.CC86JANXX.SM2.011818p3.H4	PBMC2.CC86JANXX.SM2.011818p4.A11	PBMC2.CC86JANXX.SM2.011818p4.A4	PBMC2.CC86JANXX.SM2.011818p4.A5	PBMC2.CC86JANXX.SM2.011818p4.A9	PBMC2.CC86JANXX.SM2.011818p4.B12	PBMC2.CC86JANXX.SM2.011818p4.B3	PBMC2.CC86JANXX.SM2.011818p4.C1	PBMC2.CC86JANXX.SM2.011818p4.C2	PBMC2.CC86JANXX.SM2.011818p4.C4	PBMC2.CC86JANXX.SM2.011818p4.C6	PBMC2.CC86JANXX.SM2.011818p4.D11	PBMC2.CC86JANXX.SM2.011818p4.D2	PBMC2.CC86JANXX.SM2.011818p4.D3	PBMC2.CC86JANXX.SM2.011818p4.E1	PBMC2.CC86JANXX.SM2.011818p4.E11	PBMC2.CC86JANXX.SM2.011818p4.E7	PBMC2.CC86JANXX.SM2.011818p4.F10	PBMC2.CC86JANXX.SM2.011818p4.F3	PBMC2.CC86JANXX.SM2.011818p4.F4	PBMC2.CC86JANXX.SM2.011818p4.F7	PBMC2.CC86JANXX.SM2.011818p4.G3	PBMC2.CC86JANXX.SM2.011818p4.G9	PBMC2.CC86JANXX.SM2.011818p4.H10	PBMC2.CC86JANXX.SM2.011818p4.H8	PBMC2.CC86JANXX.SM2.011818p5.A10	PBMC2.CC86JANXX.SM2.011818p5.A4	PBMC2.CC86JANXX.SM2.011818p5.B1	PBMC2.CC86JANXX.SM2.011818p5.B12	PBMC2.CC86JANXX.SM2.011818p5.B4	PBMC2.CC86JANXX.SM2.011818p5.C11	PBMC2.CC86JANXX.SM2.011818p5.C2	PBMC2.CC86JANXX.SM2.011818p5.C3	PBMC2.CC86JANXX.SM2.011818p5.D10	PBMC2.CC86JANXX.SM2.011818p5.E10	PBMC2.CC86JANXX.SM2.011818p5.E11	PBMC2.CC86JANXX.SM2.011818p5.E3	PBMC2.CC86JANXX.SM2.011818p5.E8	PBMC2.CC86JANXX.SM2.011818p5.E9	PBMC2.CC86JANXX.SM2.011818p5.G6	PBMC2.CC86JANXX.SM2.011818p5.G9	PBMC2.CC86JANXX.SM2.011818p5.H8
ENST00000374550.8|ENSG00000142676.14|OTTHUMG00000002926.8|OTTHUMT00000494315.1|RPL11-201|RPL11|660|protein_coding|	660	342.31	435.87	527.226	418.322	161.887	104.652	481.503	596.27	251.757	229.117	322.389	666.26	641.442	164.241	544.107	598.296	256.556	631.802	379.382	334.95	272.639	495.118	367.877	402.5	383.014	938.048	287.974	258.596	90.5137	418.063	195.6	177.339	441.113	376.417	124.808	259.597	323.358	433.373	278.474	338.778	205.746	29.1903	146.865	187.12	210.045	233.132	149.767	80.616	215.287	38.1547	70.8226	307.438	236.126	143.255	526.965	221.522	284.616	193.581	356.389	730.546	149.918	404.588	165.915	255.122	260.146	351.37	185.449	139.1	319.404	197.156	361.935	169.439	219.709	171.713	253.075	456.585	271.258	264.821	133.669	358.528	202.242
ENST00000643754.2|ENSG00000142676.14|OTTHUMG00000002926.8|OTTHUMT00000008168.5|RPL11-206|RPL11|1017|protein_coding|	1017	689.766	174.496	339.042	256.916	104.809	118.96	285.655	295.217	239.744	411.015	545.37	467.337	310.109	140.177	126.874	161.537	263.328	326.963	329.327	283.542	210.924	213.768	346.726	439.249	194.719	457.33	258.161	145.04	85.629	223.711	69.9255	62.486	44.2534	181.647	48.2409	155.442	143.345	257.68	143.868	122.779	74.2541	66.2059	131.642	100.829	53.1093	45.6733	126.185	99.5667	110.242	98.6785	98.614	44.5012	103.452	47.154	395.662	102.793	106.294	84.8666	183.987	249.096	72.0631	303.799	113.424	167.539	85.9333	120.085	220.255	59.2001	155.265	142.693	281.208	190.529	116.621	121.758	105.369	50.6586	116.867	203.145	60.4827	326.543	107.461
ENST00000458455.2|ENSG00000142676.14|OTTHUMG00000002926.8|OTTHUMT00000008170.2|RPL11-203|RPL11|879|protein_coding|	879	554.047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143.882	0	0	0	0	2.7642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENST00000396651.8|ENSG00000142937.12|OTTHUMG00000008494.2|OTTHUMT00000023439.2|RPS8-202|RPS8|778|protein_coding|	778	454.927	339.612	2455.38	970	1473.92	696.602	1678.94	732.252	1532.06	1059.98	2495.91	2097.3	1506.04	1467	765.891	1075.56	1772.86	658.832	1626.37	2643.15	775.047	1585.61	826	1345.89	1755.9	538.445	673	716.879	183.847	422.03	425	209	284	734.354	287	869	876.998	1139.69	570.927	1151.47	505.36	236	349	379	402.913	116	584.59	317.878	190	191	588.907	512.738	345	356	591	727.843	166.936	118.955	96	1821.19	109	1205.34	900.521	921.138	624.891	608.996	598	864.016	651.912	435	1121.89	438	685.287	491.615	1216.91	1075	701.687	325.995	603.998	876.844	699.355
ENST00000372209.3|ENSG00000142937.12|OTTHUMG00000008494.2|OTTHUMT00000023441.1|RPS8-201|RPS8|685|protein_coding|	685	365.682	0	0	0	0	0	0	5.63994	171.939	0	0	127.61	160.841	0	0	124.44	0	0	0	0.00771123	52.9056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.39029	0	0	0	0	0	0	45.0596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.81283	0	0	0	6.8527	0	0	0	76.9215	0	0	0	0	0	0	0	0	0	0	0	0	6.60902
ENST00000645300.1|ENSG00000122406.14|OTTHUMG00000010899.10|OTTHUMT00000494378.1|RPL5-209|RPL5|896|protein_coding|	896	570.843	89.3707	0	0	189.967	0	71.6673	0	64.1968	9.18374	111.885	140.261	0	0	27.0315	106.072	0	228.737	47.0926	0	80.139	57.9208	0	0	0	49.0567	32.0163	101.966	33.7942	0	56.8558	44.93	0	0	0	16.8634	28.1781	101.378	60.2366	121.237	0	0	0	0	0	8.89134	27.0332	6.28588	0	0	0	0	18.5598	35.8178	0	8.82626	15.753	5.38217	0	33.2927	4.69269	0	0	18.6596	41.0231	0	0	0	0	0	17.7052	0	0	0	22.1499	31.3412	5.90061	0	0	0	0
ENST00000370321.8|ENSG00000122406.14|OTTHUMG00000010899.10|OTTHUMT00000496918.1|RPL5-202|RPL5|1028|protein_coding|	1028	700.766	2461.23	1459.37	726.921	2906.86	852.785	796.951	320	1528.71	1974.54	2903.56	3686.02	1885.95	2078	2051.98	2881.92	1428.35	1910.57	1799.33	0	1182.43	2630.85	1867.28	2123.48	643.873	1132.87	1891.98	1030.03	1130.29	1125.6	463.144	648.722	880.291	903.742	390	1073.5	1557.99	1118.81	1812.06	1242.68	449.72	677	582.615	478	537.401	448.869	973.864	491.714	342	378.959	124.637	585.049	348.851	936.165	128.864	879.847	1031.04	179.47	478	1012.28	167.167	636.42	768.505	1153.24	869.452	556	379.738	779.627	783.918	620.506	978.424	325	1008.55	1606.73	1447.61	585.655	1184.08	365.842	315	1254.6	588.18
ENST00000315741.5|ENSG00000122406.14|OTTHUMG00000010899.10|OTTHUMT00000092744.3|RPL5-201|RPL5|681|protein_coding|	681	361.882	0	0	22.5814	0	0	3.3617	0	0	0	0	0	0	0	0	0	2.60445	0	0	0	5.5	0	0	0	0	0	0	0	2.97984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.9443	22.1665
ENST00000582401.6|ENSG00000265972.6|OTTHUMG00000013755.7|OTTHUMT00000038547.4|TXNIP-204|TXNIP|2905|protein_coding|	2905	2577.77	901.407	1175.35	609.603	985	1175	736	826.523	2689.52	231.712	10697.5	1847.93	3730	779	1573.92	779.333	1898.84	721.14	2452	2138	1268	828.359	5110.12	6087.93	1163.77	1024.67	2382.36	2183	142.833	358.071	290.89	913.642	1907.03	2155.25	0	884.585	813.974	423.331	1223	3437.75	704.059	1608.14	311.133	1055.52	3869.59	741.841	1118.48	699	352	1179.28	663	1939.43	280.882	246.966	1155	3556.45	2158	194.655	2095.67	257	5	759	1570.97	180	2060.68	923	1209.13	487	1939.02	3126.33	248.787	421.93	1034.59	1180	1	1752	1016	2895.83	1334.1	3029.48	953.438
ENST00000425134.2|ENSG00000265972.6|OTTHUMG00000013755.7|OTTHUMT00000038548.3|TXNIP-201|TXNIP|1225|protein_coding|	1225	897.766	0	183.476	0	0	0	0	36.1841	0	66.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.997	2.27141	0	0	0	9.23875	0	0	0	0	0	61.6791	0	0	0	0	0	0	0	0	0	0	47.4638	0	0	0	0	0	0	0	0	0	0	0	6.10796	0	0	0	0	0	0	0	0	0	198.741	0	33.0085	0	0	0	0	0	0	0	69.6703	0	0
